品牌,机型,日期,占有率
iPhone,7,2018-07-01,0.01
iPhone,6S,2018-07-01,0.01
iPhone,6s,2018-07-01,0.01
iPod,touch,2018-07-01,0.01
iPhone,3GS,2018-07-01,0.0
iPod,touch,2018-07-01,0.0
iPod,touch,2018-07-01,0.0
iPhone,3G,2018-07-01,0.0
iPhone,XS,2018-07-01,0.0
iPhone,XS,2018-07-01,0.0
iPhone,6,2018-08-01,12.44
iPhone,7,2018-08-01,12.32
iPhone,6s,2018-08-01,11.18
iPhone,6s,2018-08-01,10.34
iPhone,7,2018-08-01,9.59
iPhone,X,2018-08-01,8.63
iPhone,6,2018-08-01,7.98
iPhone,8,2018-08-01,5.53
iPhone,5S,2018-08-01,3.43
iPhone,8,2018-08-01,3.11
iPad,Air,2018-08-01,1.84
iPad,mini,2018-08-01,1.64
iPad,air,2018-08-01,1.59
iPhone,SE,2018-08-01,1.48
iPad,mini,2018-08-01,1.14
iPad,mini,2018-08-01,1.02
iPhone,5,2018-08-01,1.0
iPad,4,2018-08-01,0.82
iPad,2,2018-08-01,0.58
iPad,Pro,2018-08-01,0.53
iPhone,4s,2018-08-01,0.46
iPad,3,2018-08-01,0.36
iPad,mini,2018-08-01,0.25
iPhone,5C,2018-08-01,0.25
iPad,pro,2018-08-01,0.22
iPhone,4,2018-08-01,0.16
iPad,Air,2018-08-01,0.15
iPad,pro,2018-08-01,0.08
iPad,mini,2018-08-01,0.07
iPad,5,2018-08-01,0.05
iPod,touch,2018-08-01,0.04
iPad,pro,2018-08-01,0.04
iPad,pro,2018-08-01,0.03
iPad,pro,2018-08-01,0.02
iPod,touch,2018-08-01,0.02
iPad,1,2018-08-01,0.01
iPhone,6S,2018-08-01,0.01
iPod,touch,2018-08-01,0.01
iPhone,6s,2018-08-01,0.01
iPhone,6,2018-08-01,0.0
iPhone,7,2018-08-01,0.0
iPhone,3GS,2018-08-01,0.0
iPod,touch,2018-08-01,0.0
iPhone,XS,2018-08-01,0.0
iPhone,3G,2018-08-01,0.0
iPhone,XS,2018-08-01,0.0
iPhone,XR,2018-08-01,0.0
iPhone,7,2018-09-01,12.55
iPhone,6,2018-09-01,12.05
iPhone,6s,2018-09-01,11.14
iPhone,6s,2018-09-01,10.4
iPhone,7,2018-09-01,9.75
iPhone,X,2018-09-01,9.26
iPhone,6,2018-09-01,7.73
iPhone,8,2018-09-01,5.94
iPhone,8,2018-09-01,3.34
iPhone,5S,2018-09-01,3.14
iPad,Air,2018-09-01,1.7
iPhone,SE,2018-09-01,1.56
iPad,mini,2018-09-01,1.44
iPad,air,2018-09-01,1.41
iPad,mini,2018-09-01,1.02
iPad,mini,2018-09-01,0.98
iPhone,5,2018-09-01,0.77
iPad,4,2018-09-01,0.73
iPad,Pro,2018-09-01,0.64
iPad,2,2018-09-01,0.5
iPhone,4s,2018-09-01,0.38
iPhone,XS,2018-09-01,0.34
iPad,3,2018-09-01,0.32
iPad,pro,2018-09-01,0.22
iPhone,5C,2018-09-01,0.22
iPad,mini,2018-09-01,0.22
iPad,Air,2018-09-01,0.15
iPhone,4,2018-09-01,0.13
iPhone,XS,2018-09-01,0.09
iPad,pro,2018-09-01,0.08
iPad,mini,2018-09-01,0.07
iPad,5,2018-09-01,0.05
iPad,pro,2018-09-01,0.04
iPad,pro,2018-09-01,0.04
iPod,touch,2018-09-01,0.03
iPad,pro,2018-09-01,0.02
iPod,touch,2018-09-01,0.01
iPhone,6S,2018-09-01,0.01
iPhone,6s,2018-09-01,0.01
iPod,touch,2018-09-01,0.01
iPad,1,2018-09-01,0.01
iPhone,6,2018-09-01,0.0
iPhone,7,2018-09-01,0.0
iPhone,3GS,2018-09-01,0.0
iPod,touch,2018-09-01,0.0
iPod,touch,2018-09-01,0.0
iPhone,3G,2018-09-01,0.0
iPhone,XR,2018-09-01,0.0
